   80   80
    nn     x     y    ss   oprev dprev   odist     ddist     oarea     darea  tareadiff
     1     1     1   3.0    83    83     59364     64192     58675    -14240      6215
     2     2     1   4.0    83    83     58697     63525     57890    -13455      6215
     3     3     1   5.0    84    84     58009     62837     57115    -12680      6215
     4     4     1   6.0   165   165     57548     62376     56335    -11900      6215
     5     5     1   4.0    85    85     57062     61890     55555    -11120      6215
     6     6     1   6.0    88    88     56692     61951     57060    -11060      7780
     7     7     1   6.0    88    88     55541     60800     56275    -10275      7780
     8     8     1   6.0     9    89     54478     59962     55620     -9500      7900
     9     9     1   5.0    10   170     53103     59296     54830     -8720      7890
    10    10     1   5.0    11   171     51853     58717     54040     -7955      7865
    11    11     1   4.0    12    92     50728     57821     53250     -7255      7775
    12    12     1   4.0    94   173     49728     57235     52460     -6475      7765
    13    13     1   4.0    14   174     48787     56812     51760     -5720      7820
    14    14     1   4.0    15    94     47787     56437     50970     -4950      7800
    15    15     1   4.0    16    95     46787     56353     50180     -4300      7660
    16    16     1   5.0    17    96     45662     56492     49390     -3530      7640
    17    17     1   4.0    18   178     44537     55865     48600     -3015      7365
    18    18     1   6.0    19    98     43287     55725     47810     -2235      7355
    19    19     1   4.0    20    20     42037     54607     47020     -2285      6515
    20    20     1   5.0    21    21     40912     53482     46230     -1495      6515
    21    21     1   5.0   103   103     39662     52232     45440      -705      6515
    22    22     1   5.0   104   104     38539     51109     44665        70      6515
    23    23     1   4.0    24    24     37477     50047     43890       845      6515
    24    24     1   2.0   185   185     36727     49297     43100      1635      6515
    25    25     1   5.0   105   105     36911     49481     42320      2415      6515
    26    26     1   5.0   106   106     37106     49676     41555      3180      6515
    27    27     1   5.0    28   186     36194     49956     41185      3960      6925
    28    28     1   6.0    29   108     34819     50578     40395      4705      6880
    29    29     1   4.0    30   110     33569     50415     39605      5125      6510
    30    30     1   3.0    31   111     32694     49606     38815      5895      6490
    31    31     1   3.0    32   111     31944     49280     38025      6680      6485
    32    32     1   3.0   114   112     31194     49412     37235      7440      6455
    33    33     1   3.0   115   192     30583     49478     36455      8220      6455
    34    34     1   4.0   116   113     29973     49990     35675      9000      6455
    35    35     1   4.0    36   115     29010     50100     34915      8380      5075
    36    36     1   3.0    37   116     28135     50137     34125      9120      5025
    37    37     1   2.0   119   117     27510     49939     33335      9890      5005
    38    38     1   2.0   120   119     27088     49918     32600     10410      4790
    39    39     1   2.0   121   119     26618     49711     31820     11195      4795
    40    40     1   3.0   122   120     26147     49848     31040     11970      4790
    41    41     1   4.0   123   121     25537     50091     30260     12740      4780
    42    42     1   4.0    43   201     24713     50320     29740     13515      5035
    43    43     1   3.0    44   122     23838     50634     28950     14295      5025
    44    44     1   4.0    45   205     22963     51362     28160     12990      2930
    45    45     1   3.0    46    46     22088     50934     27370     13660      2810
    46    46     1   2.0    47   127     21463     50309     26580     14450      2810
    47    47     1   2.0    48   127     20963     50056     25790     15235      2805
    48    48     1   2.0    49   128     20463     50064     25000     15980      2760
    49    49     1   2.0    50   128     19963     50286     24210     16765      2755
    50    50     1   2.0    51   130     19463     50464     23420     17360      2560
    51    51     1   2.0    52   131     18963     50452     22630     18135      2545
    52    52     1   2.0   134   132     18463     50437     21840     18550      2170
